BELTUSE_BIN	BAGDEPLOY_BIN	SEATPOS	DV_MPH	file_path	HIC15	T1_15	T2_15	HIC36	T1_36	T2_36	PEAK_LACC	PEAK_AACC	PEAK_LACC_g
1	1	13	21	data/minimal_simulations/21_mph/pass/belt/airbag/madymo/madymo.peak	39.742	81.1	96.1	72.849	62.2	98.2	244.99	1710.9	24.973496432212027
0	0	11	22	data/minimal_simulations/22_mph/driver/nobelt/noairbag/madymo/madymo.peak	4423	87	97	4423	87	97	3464.2	22776	353.1294597349643
1	0	11	22	data/minimal_simulations/22_mph/driver/belt/noairbag/madymo/madymo.peak	277.66	89	101	295.54	78	104	1519	15865	154.841997961264
0	1	11	22	data/minimal_simulations/22_mph/driver/nobelt/airbag/madymo/madymo.peak	41.363	86	101	76.547	69	105	248.26	1659.2	25.30682976554536
1	1	11	22	data/minimal_simulations/22_mph/driver/belt/airbag/madymo/madymo.peak	128.42	76	91	184.01	66	102	390.56	2448.5	39.81243628950051
0	0	13	22	data/minimal_simulations/22_mph/pass/nobelt/noairbag/madymo/madymo.peak	3567.8	87.2	89.7	3567.8	87.2	89.7	3418.4	21760	348.46075433231397
1	0	13	22	data/minimal_simulations/22_mph/pass/belt/noairbag/madymo/madymo.peak	61.986	80.3	95.3	115.81	71.6	107.6	277.55	897.2	28.29255861365953
0	1	13	22	data/minimal_simulations/22_mph/pass/nobelt/airbag/madymo/madymo.peak	45.32	86.3	101.3	77.89	75.3	111.3	340	2895.8	34.6585117227319
1	1	13	22	data/minimal_simulations/22_mph/pass/belt/airbag/madymo/madymo.peak	44.992	79.8	94.8	83.837	61.7	97.7	255.36	1783.6	26.03058103975535
0	0	11	23	data/minimal_simulations/23_mph/driver/nobelt/noairbag/madymo/madymo.peak	5112.9	85	95	5112.9	85	95	3775.2	25220	384.8318042813455
1	0	11	23	data/minimal_simulations/23_mph/driver/belt/noairbag/madymo/madymo.peak	522.04	87	93	522.04	87	93	2284.9	30181	232.91539245667687
